Date,Daily Confirmed Cases
20200301,3
20200302,20
20200303,14
20200304,22
20200305,34
20200306,74
20200307,105
20200308,95
20200309,121
20200310,200
20200311,271
20200312,287
20200313,351
20200314,511
20200315,777
20200316,823
20200317,887
20200318,1766
20200319,2988
20200320,4835
20200321,5374
20200322,7123
20200323,8459
20200324,11236
20200325,8789
20200326,13963
20200327,16797
20200328,18695
20200329,19979
20200330,18360
20200331,21595
20200401,24998
20200402,27103
20200403,28819
20200404,32425
20200405,34272
20200406,25398
20200407,30561
20200408,30613
20200409,33323
20200410,33901
20200411,35527
20200412,28391
20200413,27620
20200414,25023
20200415,26922
20200416,30148
20200417,31667
20200418,30833
20200419,32922
20200420,24601
20200421,28065
20200422,37289
20200423,17588
20200424,26543
20200425,21352
20200426,48529
20200427,26857
20200428,22541
20200429,24132
20200430,27326
20200501,29917
20200502,33955
20200503,29288
20200504,24972
20200505,22593
20200506,23841
20200507,24128
20200508,28369
20200509,26957
20200510,25612
